subcity,bedrooms,bathrooms,area_sqm,has_water_tank,has_generator,is_furnished,description_text,rent_price_etb
Gulele,3,2,121.8,1,1,0,3-bedroom apartment in Gulele available for rent. About 122 square metres of living space. Features a private water tank. Comes with a backup generator. Ideal for families or professionals.,41000.0
Bole,4,2,115.0,0,0,1,"Apartment with 4 bedrooms in Bole, now available. 115 square metres, well laid out. Furnished and ready to move in. Ideal for families or professionals.",58000.0
Bole,4,2,126.8,0,0,1,"Apartment with 4 bedrooms in Bole, now available. 127 square metres, well laid out. Furnished and ready to move in. Well maintained and secure.",62500.0
Yeka,1,1,52.8,0,0,0,Rent a 1-bedroom home located in Yeka. About 53 square metres of living space. Well maintained apartment. Well maintained and secure.,17500.0
Addis Ketema,3,2,104.8,1,1,0,Rent a 3-bedroom home located in Addis Ketema. About 105 square metres of living space. Features a private water tank. Comes with a backup generator. Well maintained and secure.,35000.0
Arada,1,1,83.3,0,0,0,"Apartment with 1 bedrooms in Arada, now available. About 83 square metres of living space. Well maintained apartment. Quiet neighbourhood with good access to transport.",28500.0
Kolfe,1,1,46.9,0,1,0,1-bedroom unit in Kolfe for long-term rental. Floor space of 47 square metres. Comes with a backup generator. Well maintained and secure.,16000.0
Nifas Silk,4,2,110.6,0,0,0,4-bedroom apartment in Nifas Silk available for rent. About 111 square metres of living space. Well maintained apartment. Well maintained and secure.,37500.0
Nifas Silk,1,1,54.1,0,1,0,1-bedroom apartment in Nifas Silk available for rent. About 54 square metres of living space. Comes with a backup generator. Well maintained and secure.,19000.0
Bole,2,1,89.4,0,0,0,2-bedroom unit in Bole for long-term rental. Floor space of 89 square metres. Well maintained apartment. Quiet neighbourhood with good access to transport.,36000.0
Akaky Kaliti,3,2,115.4,1,0,0,3-bedroom apartment in Akaky Kaliti available for rent. Floor space of 115 square metres. Features a private water tank. Well maintained and secure.,32500.0
Yeka,4,2,135.2,1,0,0,"Apartment with 4 bedrooms in Yeka, now available. Floor space of 135 square metres. Features a private water tank. Quiet neighbourhood with good access to transport.",49000.0
Nifas Silk,3,2,122.1,1,1,0,3-bedroom apartment in Nifas Silk available for rent. About 122 square metres of living space. Features a private water tank. Comes with a backup generator. Ideal for families or professionals.,42500.0
Gulele,1,1,42.8,0,0,1,Rent a 1-bedroom home located in Gulele. About 43 square metres of living space. Furnished and ready to move in. Well maintained and secure.,15000.0
Nifas Silk,4,2,144.3,0,1,0,"Rent a 4-bedroom home located in Nifas Silk. 144 square metres, well laid out. Comes with a backup generator. Ideal for families or professionals.",48500.0
Akaky Kaliti,5,3,148.3,1,0,0,"5-bedroom apartment in Akaky Kaliti available for rent. 148 square metres, well laid out. Features a private water tank. Well maintained and secure.",44500.0
Bole,5,3,160.8,1,1,0,"5-bedroom unit in Bole for long-term rental. 161 square metres, well laid out. Features a private water tank. Comes with a backup generator. Ideal for families or professionals.",73500.0
Arada,4,2,114.1,0,1,0,"Apartment with 4 bedrooms in Arada, now available. 114 square metres, well laid out. Comes with a backup generator. Well maintained and secure.",48000.0
Kirkos,3,2,108.1,1,0,0,"3-bedroom unit in Kirkos for long-term rental. 108 square metres, well laid out. Features a private water tank. Close to schools and markets.",45500.0
Arada,5,2,154.8,0,1,0,"Apartment with 5 bedrooms in Arada, now available. Floor space of 155 square metres. Comes with a backup generator. Close to schools and markets.",62500.0
Bole,3,1,121.9,1,0,1,3-bedroom unit in Bole for long-term rental. About 122 square metres of living space. Features a private water tank. Furnished and ready to move in. Quiet neighbourhood with good access to transport.,58500.0
Bole,1,1,45.0,0,0,1,1-bedroom unit in Bole for long-term rental. About 45 square metres of living space. Furnished and ready to move in. Close to schools and markets.,21500.0
Yeka,5,3,152.4,0,0,0,"5-bedroom apartment in Yeka available for rent. 152 square metres, well laid out. Well maintained apartment. Well maintained and secure.",55000.0
Yeka,2,1,73.0,1,0,0,Rent a 2-bedroom home located in Yeka. About 73 square metres of living space. Features a private water tank. Close to schools and markets.,26500.0
Kirkos,5,3,158.1,1,0,0,5-bedroom apartment in Kirkos available for rent. About 158 square metres of living space. Features a private water tank. Close to schools and markets.,67000.0
Nifas Silk,2,1,95.3,0,0,0,"Apartment with 2 bedrooms in Nifas Silk, now available. About 95 square metres of living space. Well maintained apartment. Ideal for families or professionals.",28500.0
Nifas Silk,5,2,167.4,1,0,1,"Apartment with 5 bedrooms in Nifas Silk, now available. Floor space of 167 square metres. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals.",63500.0
Kirkos,3,2,101.6,0,1,1,Rent a 3-bedroom home located in Kirkos. About 102 square metres of living space. Comes with a backup generator. Furnished and ready to move in. Quiet neighbourhood with good access to transport.,50500.0
Kirkos,3,2,119.1,0,0,0,3-bedroom unit in Kirkos for long-term rental. About 119 square metres of living space. Well maintained apartment. Close to schools and markets.,47000.0
Yeka,2,1,102.3,0,1,1,"2-bedroom apartment in Yeka available for rent. 102 square metres, well laid out. Comes with a backup generator. Furnished and ready to move in. Ideal for families or professionals.",40500.0
Nifas Silk,5,3,132.3,0,0,0,"5-bedroom unit in Nifas Silk for long-term rental. 132 square metres, well laid out. Well maintained apartment. Ideal for families or professionals.",46500.0
Yeka,1,1,71.3,0,0,0,"Apartment with 1 bedrooms in Yeka, now available. Floor space of 71 square metres. Well maintained apartment. Close to schools and markets.",22500.0
Bole,3,2,119.5,0,0,0,"3-bedroom unit in Bole for long-term rental. 120 square metres, well laid out. Well maintained apartment. Well maintained and secure.",49500.0
Kirkos,2,1,82.9,0,0,1,Rent a 2-bedroom home located in Kirkos. About 83 square metres of living space. Furnished and ready to move in. Well maintained and secure.,37000.0
Arada,3,2,93.5,1,0,0,3-bedroom apartment in Arada available for rent. Floor space of 94 square metres. Features a private water tank. Close to schools and markets.,39000.0
Yeka,2,1,97.3,0,0,0,"2-bedroom apartment in Yeka available for rent. 97 square metres, well laid out. Well maintained apartment. Well maintained and secure.",31500.0
Nifas Silk,4,2,115.6,1,0,0,"4-bedroom apartment in Nifas Silk available for rent. 116 square metres, well laid out. Features a private water tank. Quiet neighbourhood with good access to transport.",40500.0
Nifas Silk,2,2,83.9,1,0,1,"Apartment with 2 bedrooms in Nifas Silk, now available. Floor space of 84 square metres. Features a private water tank. Furnished and ready to move in. Well maintained and secure.",33000.0
Gulele,1,1,63.5,0,0,0,Rent a 1-bedroom home located in Gulele. About 64 square metres of living space. Well maintained apartment. Ideal for families or professionals.,17500.0
Nifas Silk,1,2,72.6,0,1,1,"1-bedroom unit in Nifas Silk for long-term rental. 73 square metres, well laid out. Comes with a backup generator. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",28500.0
Nifas Silk,4,3,122.5,1,0,0,"Rent a 4-bedroom home located in Nifas Silk. 122 square metres, well laid out. Features a private water tank. Ideal for families or professionals.",43500.0
Yeka,2,1,77.8,0,0,0,"2-bedroom apartment in Yeka available for rent. 78 square metres, well laid out. Well maintained apartment. Ideal for families or professionals.",26000.0
Kolfe,2,1,87.2,0,1,0,"Apartment with 2 bedrooms in Kolfe, now available. Floor space of 87 square metres. Comes with a backup generator. Well maintained and secure.",27000.0
Arada,4,3,142.1,0,0,1,"Rent a 4-bedroom home located in Arada. 142 square metres, well laid out. Furnished and ready to move in. Ideal for families or professionals.",63500.0
Kirkos,2,2,113.4,0,0,0,"Apartment with 2 bedrooms in Kirkos, now available. About 113 square metres of living space. Well maintained apartment. Quiet neighbourhood with good access to transport.",43000.0
Nifas Silk,2,1,67.9,1,0,0,"Apartment with 2 bedrooms in Nifas Silk, now available. About 68 square metres of living space. Features a private water tank. Close to schools and markets.",23500.0
Kirkos,2,2,89.8,0,0,1,2-bedroom unit in Kirkos for long-term rental. About 90 square metres of living space. Furnished and ready to move in. Ideal for families or professionals.,41000.0
Arada,2,1,73.0,0,0,1,"Apartment with 2 bedrooms in Arada, now available. About 73 square metres of living space. Furnished and ready to move in. Close to schools and markets.",31500.0
Gulele,4,2,142.2,0,0,1,4-bedroom apartment in Gulele available for rent. Floor space of 142 square metres. Furnished and ready to move in. Quiet neighbourhood with good access to transport.,49500.0
Lidetta,3,1,96.7,0,0,0,3-bedroom unit in Lidetta for long-term rental. About 97 square metres of living space. Well maintained apartment. Ideal for families or professionals.,28000.0
Akaky Kaliti,5,3,143.9,1,0,0,5-bedroom unit in Akaky Kaliti for long-term rental. Floor space of 144 square metres. Features a private water tank. Quiet neighbourhood with good access to transport.,43500.0
Arada,4,2,122.9,0,0,0,4-bedroom apartment in Arada available for rent. Floor space of 123 square metres. Well maintained apartment. Quiet neighbourhood with good access to transport.,48000.0
Arada,1,1,63.1,0,1,0,Rent a 1-bedroom home located in Arada. Floor space of 63 square metres. Comes with a backup generator. Ideal for families or professionals.,25000.0
Kolfe,2,1,89.9,0,0,1,"2-bedroom unit in Kolfe for long-term rental. 90 square metres, well laid out. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",28500.0
Yeka,2,2,91.8,1,1,0,"2-bedroom unit in Yeka for long-term rental. 92 square metres, well laid out. Features a private water tank. Comes with a backup generator. Quiet neighbourhood with good access to transport.",35500.0
Lidetta,3,3,107.9,0,1,1,Rent a 3-bedroom home located in Lidetta. Floor space of 108 square metres. Comes with a backup generator. Furnished and ready to move in. Ideal for families or professionals.,41000.0
Arada,2,1,70.0,0,0,1,"Rent a 2-bedroom home located in Arada. 70 square metres, well laid out. Furnished and ready to move in. Well maintained and secure.",30500.0
Bole,5,3,160.7,0,0,1,5-bedroom unit in Bole for long-term rental. Floor space of 161 square metres. Furnished and ready to move in. Well maintained and secure.,79500.0
Bole,2,1,85.4,0,0,0,2-bedroom apartment in Bole available for rent. About 85 square metres of living space. Well maintained apartment. Well maintained and secure.,34500.0
Lidetta,3,2,121.9,0,0,0,"3-bedroom apartment in Lidetta available for rent. 122 square metres, well laid out. Well maintained apartment. Ideal for families or professionals.",34500.0
Bole,1,1,55.5,1,0,0,"1-bedroom apartment in Bole available for rent. 56 square metres, well laid out. Features a private water tank. Quiet neighbourhood with good access to transport.",24000.0
Yeka,5,3,132.8,1,0,0,Rent a 5-bedroom home located in Yeka. About 133 square metres of living space. Features a private water tank. Well maintained and secure.,51500.0
Kirkos,5,3,151.6,0,0,0,5-bedroom unit in Kirkos for long-term rental. About 152 square metres of living space. Well maintained apartment. Ideal for families or professionals.,63000.0
Bole,4,2,145.6,1,0,1,"Rent a 4-bedroom home located in Bole. 146 square metres, well laid out. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals.",72000.0
Yeka,2,1,87.9,0,1,1,"Apartment with 2 bedrooms in Yeka, now available. Floor space of 88 square metres. Comes with a backup generator. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",36000.0
Gulele,1,1,61.6,0,0,0,"Apartment with 1 bedrooms in Gulele, now available. Floor space of 62 square metres. Well maintained apartment. Close to schools and markets.",17500.0
Bole,4,3,119.6,1,0,1,"Apartment with 4 bedrooms in Bole, now available. 120 square metres, well laid out. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals.",63000.0
Kolfe,3,3,129.1,0,0,0,"Apartment with 3 bedrooms in Kolfe, now available. 129 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport.",38000.0
Lidetta,5,3,139.6,0,0,0,"Apartment with 5 bedrooms in Lidetta, now available. 140 square metres, well laid out. Well maintained apartment. Well maintained and secure.",44000.0
Kirkos,4,3,121.3,0,0,0,4-bedroom unit in Kirkos for long-term rental. Floor space of 121 square metres. Well maintained apartment. Close to schools and markets.,51000.0
Bole,3,1,114.8,0,0,1,"Apartment with 3 bedrooms in Bole, now available. Floor space of 115 square metres. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",54000.0
Nifas Silk,5,3,129.7,1,0,1,5-bedroom apartment in Nifas Silk available for rent. About 130 square metres of living space. Features a private water tank. Furnished and ready to move in. Close to schools and markets.,54500.0
Bole,5,3,167.3,1,0,0,Rent a 5-bedroom home located in Bole. Floor space of 167 square metres. Features a private water tank. Ideal for families or professionals.,73500.0
Kirkos,3,2,115.5,1,1,0,"Rent a 3-bedroom home located in Kirkos. 116 square metres, well laid out. Features a private water tank. Comes with a backup generator. Ideal for families or professionals.",50500.0
Addis Ketema,1,1,74.8,1,0,0,Rent a 1-bedroom home located in Addis Ketema. Floor space of 75 square metres. Features a private water tank. Well maintained and secure.,20500.0
Addis Ketema,1,1,70.7,0,0,0,Rent a 1-bedroom home located in Addis Ketema. About 71 square metres of living space. Well maintained apartment. Well maintained and secure.,18000.0
Kolfe,3,1,106.1,1,0,0,"Apartment with 3 bedrooms in Kolfe, now available. Floor space of 106 square metres. Features a private water tank. Well maintained and secure.",32500.0
Yeka,3,1,95.2,1,0,0,"Apartment with 3 bedrooms in Yeka, now available. 95 square metres, well laid out. Features a private water tank. Quiet neighbourhood with good access to transport.",35000.0
Gulele,1,1,62.3,1,0,0,"1-bedroom apartment in Gulele available for rent. 62 square metres, well laid out. Features a private water tank. Close to schools and markets.",19000.0
Gulele,1,1,52.3,0,1,1,Rent a 1-bedroom home located in Gulele. Floor space of 52 square metres. Comes with a backup generator. Furnished and ready to move in. Ideal for families or professionals.,20500.0
Kirkos,4,3,135.8,0,0,0,4-bedroom unit in Kirkos for long-term rental. Floor space of 136 square metres. Well maintained apartment. Close to schools and markets.,56000.0
Nifas Silk,4,3,139.7,0,1,0,Rent a 4-bedroom home located in Nifas Silk. Floor space of 140 square metres. Comes with a backup generator. Well maintained and secure.,48500.0
Bole,1,1,81.7,0,0,0,Rent a 1-bedroom home located in Bole. About 82 square metres of living space. Well maintained apartment. Quiet neighbourhood with good access to transport.,31000.0
Yeka,3,2,112.5,1,0,1,3-bedroom unit in Yeka for long-term rental. Floor space of 112 square metres. Features a private water tank. Furnished and ready to move in. Quiet neighbourhood with good access to transport.,46500.0
Arada,1,1,75.1,1,0,0,"1-bedroom unit in Arada for long-term rental. 75 square metres, well laid out. Features a private water tank. Ideal for families or professionals.",27500.0
Bole,4,2,126.4,0,0,1,"Apartment with 4 bedrooms in Bole, now available. 126 square metres, well laid out. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",62500.0
Bole,5,3,146.3,0,0,1,Rent a 5-bedroom home located in Bole. Floor space of 146 square metres. Furnished and ready to move in. Well maintained and secure.,74000.0
Lidetta,5,3,157.7,0,0,0,Rent a 5-bedroom home located in Lidetta. About 158 square metres of living space. Well maintained apartment. Close to schools and markets.,47500.0
Addis Ketema,3,2,103.4,0,0,0,"Apartment with 3 bedrooms in Addis Ketema, now available. 103 square metres, well laid out. Well maintained apartment. Ideal for families or professionals.",30000.0
Arada,4,2,133.2,1,0,0,"Apartment with 4 bedrooms in Arada, now available. Floor space of 133 square metres. Features a private water tank. Ideal for families or professionals.",53000.0
Lidetta,5,3,139.3,0,1,0,"Apartment with 5 bedrooms in Lidetta, now available. 139 square metres, well laid out. Comes with a backup generator. Close to schools and markets.",46500.0
Addis Ketema,4,2,119.4,1,0,0,"Apartment with 4 bedrooms in Addis Ketema, now available. About 119 square metres of living space. Features a private water tank. Well maintained and secure.",37500.0
Bole,3,2,115.6,1,0,1,3-bedroom unit in Bole for long-term rental. Floor space of 116 square metres. Features a private water tank. Furnished and ready to move in. Well maintained and secure.,57500.0
Kirkos,4,3,140.6,0,0,0,Rent a 4-bedroom home located in Kirkos. About 141 square metres of living space. Well maintained apartment. Well maintained and secure.,57500.0
Kirkos,3,2,96.2,0,0,1,Rent a 3-bedroom home located in Kirkos. Floor space of 96 square metres. Furnished and ready to move in. Well maintained and secure.,46000.0
Bole,5,3,160.0,0,1,0,"5-bedroom unit in Bole for long-term rental. 160 square metres, well laid out. Comes with a backup generator. Well maintained and secure.",71500.0
Kolfe,3,2,101.6,1,0,1,3-bedroom apartment in Kolfe available for rent. Floor space of 102 square metres. Features a private water tank. Furnished and ready to move in. Close to schools and markets.,37500.0
Kirkos,5,3,152.2,0,0,0,Rent a 5-bedroom home located in Kirkos. Floor space of 152 square metres. Well maintained apartment. Close to schools and markets.,63500.0
Arada,1,1,81.0,0,0,0,Rent a 1-bedroom home located in Arada. Floor space of 81 square metres. Well maintained apartment. Ideal for families or professionals.,27500.0
Bole,1,1,73.7,0,0,0,1-bedroom unit in Bole for long-term rental. Floor space of 74 square metres. Well maintained apartment. Ideal for families or professionals.,28500.0
Yeka,1,1,73.6,0,0,0,"Apartment with 1 bedrooms in Yeka, now available. 74 square metres, well laid out. Well maintained apartment. Close to schools and markets.",23000.0
Akaky Kaliti,3,2,130.9,0,0,0,"3-bedroom unit in Akaky Kaliti for long-term rental. 131 square metres, well laid out. Well maintained apartment. Close to schools and markets.",34000.0
Bole,4,3,121.6,1,1,0,Rent a 4-bedroom home located in Bole. Floor space of 122 square metres. Features a private water tank. Comes with a backup generator. Well maintained and secure.,58000.0
Yeka,2,1,74.2,1,0,0,"Apartment with 2 bedrooms in Yeka, now available. Floor space of 74 square metres. Features a private water tank. Quiet neighbourhood with good access to transport.",27000.0
Yeka,1,1,55.3,0,0,0,1-bedroom apartment in Yeka available for rent. About 55 square metres of living space. Well maintained apartment. Ideal for families or professionals.,18000.0
Arada,5,3,148.9,0,0,0,"5-bedroom unit in Arada for long-term rental. 149 square metres, well laid out. Well maintained apartment. Close to schools and markets.",59500.0
Nifas Silk,4,2,101.7,1,0,0,"Apartment with 4 bedrooms in Nifas Silk, now available. About 102 square metres of living space. Features a private water tank. Close to schools and markets.",37500.0
Arada,4,2,127.5,0,0,0,"4-bedroom unit in Arada for long-term rental. 128 square metres, well laid out. Well maintained apartment. Ideal for families or professionals.",49500.0
Bole,3,2,101.5,0,0,0,"3-bedroom apartment in Bole available for rent. 102 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport.",43500.0
Yeka,3,2,117.4,1,0,0,"3-bedroom unit in Yeka for long-term rental. 117 square metres, well laid out. Features a private water tank. Close to schools and markets.",42000.0
Lidetta,1,1,68.2,0,0,0,"Apartment with 1 bedrooms in Lidetta, now available. 68 square metres, well laid out. Well maintained apartment. Close to schools and markets.",17500.0
Nifas Silk,1,1,56.8,1,0,0,1-bedroom unit in Nifas Silk for long-term rental. Floor space of 57 square metres. Features a private water tank. Well maintained and secure.,19000.0
Nifas Silk,5,3,159.1,1,0,1,5-bedroom unit in Nifas Silk for long-term rental. About 159 square metres of living space. Features a private water tank. Furnished and ready to move in. Quiet neighbourhood with good access to transport.,63000.0
Gulele,2,1,94.7,1,1,0,Rent a 2-bedroom home located in Gulele. Floor space of 95 square metres. Features a private water tank. Comes with a backup generator. Close to schools and markets.,31500.0
Kolfe,4,3,120.8,1,0,0,4-bedroom unit in Kolfe for long-term rental. About 121 square metres of living space. Features a private water tank. Ideal for families or professionals.,40000.0
Bole,4,2,124.1,0,0,0,4-bedroom unit in Bole for long-term rental. Floor space of 124 square metres. Well maintained apartment. Quiet neighbourhood with good access to transport.,53500.0
Kirkos,2,2,59.3,0,0,0,"Apartment with 2 bedrooms in Kirkos, now available. 59 square metres, well laid out. Well maintained apartment. Ideal for families or professionals.",26000.0
Arada,2,1,72.9,0,0,0,Rent a 2-bedroom home located in Arada. Floor space of 73 square metres. Well maintained apartment. Close to schools and markets.,27500.0
Kirkos,4,2,121.1,0,0,0,"Apartment with 4 bedrooms in Kirkos, now available. 121 square metres, well laid out. Well maintained apartment. Close to schools and markets.",50000.0
Lidetta,1,1,64.9,0,1,0,Rent a 1-bedroom home located in Lidetta. Floor space of 65 square metres. Comes with a backup generator. Well maintained and secure.,19500.0
Arada,3,2,96.7,0,0,0,3-bedroom apartment in Arada available for rent. About 97 square metres of living space. Well maintained apartment. Quiet neighbourhood with good access to transport.,38000.0
Kolfe,5,3,145.8,0,1,0,"5-bedroom unit in Kolfe for long-term rental. 146 square metres, well laid out. Comes with a backup generator. Close to schools and markets.",48500.0
Lidetta,4,3,115.3,1,1,0,4-bedroom apartment in Lidetta available for rent. About 115 square metres of living space. Features a private water tank. Comes with a backup generator. Ideal for families or professionals.,41000.0
Arada,4,3,132.1,0,1,0,4-bedroom apartment in Arada available for rent. About 132 square metres of living space. Comes with a backup generator. Ideal for families or professionals.,54500.0
Akaky Kaliti,1,1,69.1,1,0,0,1-bedroom unit in Akaky Kaliti for long-term rental. About 69 square metres of living space. Features a private water tank. Close to schools and markets.,18500.0
Nifas Silk,1,1,68.8,0,0,0,1-bedroom unit in Nifas Silk for long-term rental. About 69 square metres of living space. Well maintained apartment. Ideal for families or professionals.,20000.0
Lidetta,2,1,86.1,0,1,0,"Rent a 2-bedroom home located in Lidetta. 86 square metres, well laid out. Comes with a backup generator. Close to schools and markets.",26500.0
Kirkos,2,1,67.5,0,0,0,2-bedroom unit in Kirkos for long-term rental. About 68 square metres of living space. Well maintained apartment. Close to schools and markets.,27000.0
Arada,1,1,56.6,1,0,1,1-bedroom unit in Arada for long-term rental. Floor space of 57 square metres. Features a private water tank. Furnished and ready to move in. Quiet neighbourhood with good access to transport.,25500.0
Arada,5,3,147.1,0,0,0,Rent a 5-bedroom home located in Arada. About 147 square metres of living space. Well maintained apartment. Close to schools and markets.,58500.0
Bole,1,1,59.2,0,0,1,"Rent a 1-bedroom home located in Bole. 59 square metres, well laid out. Furnished and ready to move in. Ideal for families or professionals.",27000.0
Kirkos,4,3,130.9,1,1,1,"4-bedroom unit in Kirkos for long-term rental. 131 square metres, well laid out. Features a private water tank. Comes with a backup generator. Furnished and ready to move in. Ideal for families or professionals.",67500.0
Akaky Kaliti,3,2,125.1,1,0,0,Rent a 3-bedroom home located in Akaky Kaliti. About 125 square metres of living space. Features a private water tank. Quiet neighbourhood with good access to transport.,34500.0
Nifas Silk,4,2,139.7,1,0,0,"4-bedroom unit in Nifas Silk for long-term rental. 140 square metres, well laid out. Features a private water tank. Close to schools and markets.",46500.0
Bole,2,1,74.1,0,0,0,"Apartment with 2 bedrooms in Bole, now available. About 74 square metres of living space. Well maintained apartment. Quiet neighbourhood with good access to transport.",31000.0
Kirkos,2,1,94.1,0,0,0,"Apartment with 2 bedrooms in Kirkos, now available. About 94 square metres of living space. Well maintained apartment. Quiet neighbourhood with good access to transport.",35500.0
Yeka,4,2,137.7,1,1,0,4-bedroom apartment in Yeka available for rent. Floor space of 138 square metres. Features a private water tank. Comes with a backup generator. Close to schools and markets.,52000.0
Bole,2,1,76.3,0,0,0,"Rent a 2-bedroom home located in Bole. 76 square metres, well laid out. Well maintained apartment. Ideal for families or professionals.",31500.0
Akaky Kaliti,4,2,140.2,1,1,0,"Apartment with 4 bedrooms in Akaky Kaliti, now available. About 140 square metres of living space. Features a private water tank. Comes with a backup generator. Well maintained and secure.",42000.0
Kirkos,1,1,62.1,0,1,0,"Rent a 1-bedroom home located in Kirkos. 62 square metres, well laid out. Comes with a backup generator. Ideal for families or professionals.",26000.0
Yeka,1,1,47.1,0,0,1,1-bedroom apartment in Yeka available for rent. About 47 square metres of living space. Furnished and ready to move in. Ideal for families or professionals.,18500.0
Nifas Silk,4,3,135.5,1,1,0,Rent a 4-bedroom home located in Nifas Silk. About 136 square metres of living space. Features a private water tank. Comes with a backup generator. Well maintained and secure.,49500.0
Bole,4,2,132.6,0,0,1,"4-bedroom unit in Bole for long-term rental. 133 square metres, well laid out. Furnished and ready to move in. Ideal for families or professionals.",64500.0
Yeka,1,1,61.3,1,1,0,"Apartment with 1 bedrooms in Yeka, now available. 61 square metres, well laid out. Features a private water tank. Comes with a backup generator. Quiet neighbourhood with good access to transport.",24000.0
Gulele,5,3,151.6,1,0,0,5-bedroom apartment in Gulele available for rent. About 152 square metres of living space. Features a private water tank. Close to schools and markets.,50500.0
Nifas Silk,1,1,55.4,1,0,1,1-bedroom unit in Nifas Silk for long-term rental. Floor space of 55 square metres. Features a private water tank. Furnished and ready to move in. Close to schools and markets.,21500.0
Addis Ketema,5,3,159.3,1,0,0,"Apartment with 5 bedrooms in Addis Ketema, now available. 159 square metres, well laid out. Features a private water tank. Close to schools and markets.",49000.0
Nifas Silk,4,3,129.5,0,0,0,4-bedroom unit in Nifas Silk for long-term rental. Floor space of 130 square metres. Well maintained apartment. Well maintained and secure.,43500.0
Arada,5,3,154.0,0,0,0,"5-bedroom apartment in Arada available for rent. 154 square metres, well laid out. Well maintained apartment. Ideal for families or professionals.",61000.0
Kolfe,5,3,156.3,0,0,1,Rent a 5-bedroom home located in Kolfe. Floor space of 156 square metres. Furnished and ready to move in. Close to schools and markets.,55500.0
Akaky Kaliti,2,1,72.1,1,0,1,"Apartment with 2 bedrooms in Akaky Kaliti, now available. 72 square metres, well laid out. Features a private water tank. Furnished and ready to move in. Well maintained and secure.",24500.0
Gulele,4,3,119.3,1,0,0,4-bedroom unit in Gulele for long-term rental. Floor space of 119 square metres. Features a private water tank. Ideal for families or professionals.,41000.0
Addis Ketema,2,1,59.5,1,1,0,2-bedroom unit in Addis Ketema for long-term rental. Floor space of 60 square metres. Features a private water tank. Comes with a backup generator. Well maintained and secure.,22000.0
Kolfe,3,2,114.8,1,0,0,Rent a 3-bedroom home located in Kolfe. Floor space of 115 square metres. Features a private water tank. Ideal for families or professionals.,35500.0
Lidetta,2,1,71.5,0,0,0,"Rent a 2-bedroom home located in Lidetta. 72 square metres, well laid out. Well maintained apartment. Close to schools and markets.",20500.0
Bole,3,2,109.6,0,1,0,"Apartment with 3 bedrooms in Bole, now available. About 110 square metres of living space. Comes with a backup generator. Quiet neighbourhood with good access to transport.",49000.0
Gulele,5,3,156.5,0,0,0,"5-bedroom apartment in Gulele available for rent. 156 square metres, well laid out. Well maintained apartment. Close to schools and markets.",50000.0
Kirkos,3,2,115.2,0,1,0,Rent a 3-bedroom home located in Kirkos. About 115 square metres of living space. Comes with a backup generator. Well maintained and secure.,48500.0
Arada,1,1,49.6,1,0,1,1-bedroom unit in Arada for long-term rental. Floor space of 50 square metres. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals.,23000.0
Nifas Silk,2,1,85.2,0,0,0,"Apartment with 2 bedrooms in Nifas Silk, now available. 85 square metres, well laid out. Well maintained apartment. Well maintained and secure.",26000.0
Addis Ketema,4,2,150.0,1,0,0,"Apartment with 4 bedrooms in Addis Ketema, now available. 150 square metres, well laid out. Features a private water tank. Quiet neighbourhood with good access to transport.",44000.0
Addis Ketema,3,2,128.6,1,0,0,3-bedroom unit in Addis Ketema for long-term rental. About 129 square metres of living space. Features a private water tank. Ideal for families or professionals.,37000.0
Yeka,3,2,119.8,0,0,1,"Rent a 3-bedroom home located in Yeka. 120 square metres, well laid out. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",47000.0
Gulele,3,1,112.0,1,0,1,"3-bedroom apartment in Gulele available for rent. 112 square metres, well laid out. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals.",40000.0
Gulele,2,1,73.9,1,1,0,"Apartment with 2 bedrooms in Gulele, now available. Floor space of 74 square metres. Features a private water tank. Comes with a backup generator. Well maintained and secure.",26500.0
Kirkos,3,2,116.6,1,0,0,"Apartment with 3 bedrooms in Kirkos, now available. 117 square metres, well laid out. Features a private water tank. Close to schools and markets.",48000.0
Bole,4,2,128.1,0,0,0,4-bedroom unit in Bole for long-term rental. About 128 square metres of living space. Well maintained apartment. Quiet neighbourhood with good access to transport.,55000.0
Bole,5,3,158.7,1,0,1,5-bedroom unit in Bole for long-term rental. Floor space of 159 square metres. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals.,81000.0
Kolfe,4,2,122.4,1,1,0,4-bedroom apartment in Kolfe available for rent. Floor space of 122 square metres. Features a private water tank. Comes with a backup generator. Well maintained and secure.,42000.0
Arada,5,3,149.9,0,0,0,"5-bedroom unit in Arada for long-term rental. 150 square metres, well laid out. Well maintained apartment. Well maintained and secure.",59500.0
Addis Ketema,5,3,154.0,1,0,0,"Apartment with 5 bedrooms in Addis Ketema, now available. 154 square metres, well laid out. Features a private water tank. Close to schools and markets.",48000.0
