title,location,subcity,bedrooms,bathrooms,size_sqm,furnished,price_etb,description
4-bedroom unit in Gulele for long-term rental. Floor space of 119 square metres. Features a private water tank. Ideal for families or professionals.,Gulele,Gulele,4.0,3.0,119.3,False,41000.0,4-bedroom unit in Gulele for long-term rental. Floor space of 119 square metres. Features a private water tank. Ideal for families or professionals.
2-bedroom unit in Addis Ketema for long-term rental. Floor space of 60 square metres. Features a private water tank. Comes with a backup generator. Well maintained and secure.,Addis Ketema,Addis Ketema,2.0,1.0,59.5,False,22000.0,2-bedroom unit in Addis Ketema for long-term rental. Floor space of 60 square metres. Features a private water tank. Comes with a backup generator. Well maintained and secure.
Rent a 3-bedroom home located in Kolfe. Floor space of 115 square metres. Features a private water tank. Ideal for families or professionals.,Kolfe,Kolfe,3.0,2.0,114.8,False,35500.0,Rent a 3-bedroom home located in Kolfe. Floor space of 115 square metres. Features a private water tank. Ideal for families or professionals.
"Rent a 2-bedroom home located in Lidetta. 72 square metres, well laid out. Well maintained apartment. Close to schools and markets.",Lidetta,Lidetta,2.0,1.0,71.5,False,20500.0,"Rent a 2-bedroom home located in Lidetta. 72 square metres, well laid out. Well maintained apartment. Close to schools and markets."
"Apartment with 3 bedrooms in Bole, now available. About 110 square metres of living space. Comes with a backup generator. Quiet neighbourhood with good access to transport.",Bole,Bole,3.0,2.0,109.6,False,49000.0,"Apartment with 3 bedrooms in Bole, now available. About 110 square metres of living space. Comes with a backup generator. Quiet neighbourhood with good access to transport."
"5-bedroom apartment in Gulele available for rent. 156 square metres, well laid out. Well maintained apartment. Close to schools and markets.",Gulele,Gulele,5.0,3.0,156.5,False,50000.0,"5-bedroom apartment in Gulele available for rent. 156 square metres, well laid out. Well maintained apartment. Close to schools and markets."
Rent a 3-bedroom home located in Kirkos. About 115 square metres of living space. Comes with a backup generator. Well maintained and secure.,Kirkos,Kirkos,3.0,2.0,115.2,False,48500.0,Rent a 3-bedroom home located in Kirkos. About 115 square metres of living space. Comes with a backup generator. Well maintained and secure.
1-bedroom unit in Arada for long-term rental. Floor space of 50 square metres. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals.,Arada,Arada,1.0,1.0,49.6,False,23000.0,1-bedroom unit in Arada for long-term rental. Floor space of 50 square metres. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals.
"Apartment with 2 bedrooms in Nifas Silk, now available. 85 square metres, well laid out. Well maintained apartment. Well maintained and secure.",Nifas Silk,Nifas Silk,2.0,1.0,85.2,False,26000.0,"Apartment with 2 bedrooms in Nifas Silk, now available. 85 square metres, well laid out. Well maintained apartment. Well maintained and secure."
"Apartment with 4 bedrooms in Addis Ketema, now available. 150 square metres, well laid out. Features a private water tank. Quiet neighbourhood with good access to transport.",Addis Ketema,Addis Ketema,4.0,2.0,150.0,False,44000.0,"Apartment with 4 bedrooms in Addis Ketema, now available. 150 square metres, well laid out. Features a private water tank. Quiet neighbourhood with good access to transport."
3-bedroom unit in Addis Ketema for long-term rental. About 129 square metres of living space. Features a private water tank. Ideal for families or professionals.,Addis Ketema,Addis Ketema,3.0,2.0,128.6,False,37000.0,3-bedroom unit in Addis Ketema for long-term rental. About 129 square metres of living space. Features a private water tank. Ideal for families or professionals.
"Rent a 3-bedroom home located in Yeka. 120 square metres, well laid out. Furnished and ready to move in. Quiet neighbourhood with good access to transport.",Yeka,Yeka,3.0,2.0,119.8,False,47000.0,"Rent a 3-bedroom home located in Yeka. 120 square metres, well laid out. Furnished and ready to move in. Quiet neighbourhood with good access to transport."
"3-bedroom apartment in Gulele available for rent. 112 square metres, well laid out. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals.",Gulele,Gulele,3.0,1.0,112.0,False,40000.0,"3-bedroom apartment in Gulele available for rent. 112 square metres, well laid out. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals."
"Apartment with 2 bedrooms in Gulele, now available. Floor space of 74 square metres. Features a private water tank. Comes with a backup generator. Well maintained and secure.",Gulele,Gulele,2.0,1.0,73.9,False,26500.0,"Apartment with 2 bedrooms in Gulele, now available. Floor space of 74 square metres. Features a private water tank. Comes with a backup generator. Well maintained and secure."
"Apartment with 3 bedrooms in Kirkos, now available. 117 square metres, well laid out. Features a private water tank. Close to schools and markets.",Kirkos,Kirkos,3.0,2.0,116.6,False,48000.0,"Apartment with 3 bedrooms in Kirkos, now available. 117 square metres, well laid out. Features a private water tank. Close to schools and markets."
4-bedroom unit in Bole for long-term rental. About 128 square metres of living space. Well maintained apartment. Quiet neighbourhood with good access to transport.,Bole,Bole,4.0,2.0,128.1,False,55000.0,4-bedroom unit in Bole for long-term rental. About 128 square metres of living space. Well maintained apartment. Quiet neighbourhood with good access to transport.
5-bedroom unit in Bole for long-term rental. Floor space of 159 square metres. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals.,Bole,Bole,5.0,3.0,158.7,False,81000.0,5-bedroom unit in Bole for long-term rental. Floor space of 159 square metres. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals.
4-bedroom apartment in Kolfe available for rent. Floor space of 122 square metres. Features a private water tank. Comes with a backup generator. Well maintained and secure.,Kolfe,Kolfe,4.0,2.0,122.4,False,42000.0,4-bedroom apartment in Kolfe available for rent. Floor space of 122 square metres. Features a private water tank. Comes with a backup generator. Well maintained and secure.
"5-bedroom unit in Arada for long-term rental. 150 square metres, well laid out. Well maintained apartment. Well maintained and secure.",Arada,Arada,5.0,3.0,149.9,False,59500.0,"5-bedroom unit in Arada for long-term rental. 150 square metres, well laid out. Well maintained apartment. Well maintained and secure."
"Apartment with 5 bedrooms in Addis Ketema, now available. 154 square metres, well laid out. Features a private water tank. Close to schools and markets.",Addis Ketema,Addis Ketema,5.0,3.0,154.0,False,48000.0,"Apartment with 5 bedrooms in Addis Ketema, now available. 154 square metres, well laid out. Features a private water tank. Close to schools and markets."
1-bedroom unit in Arada for long-term rental. Floor space of 67 square metres. Features a private water tank. Comes with a backup generator. Furnished and ready to move in. Ideal for families or professionals.,Arada,Arada,1.0,1.0,67.0,False,32000.0,1-bedroom unit in Arada for long-term rental. Floor space of 67 square metres. Features a private water tank. Comes with a backup generator. Furnished and ready to move in. Ideal for families or professionals.
"2-bedroom apartment in Addis Ketema available for rent. 92 square metres, well laid out. Comes with a backup generator. Well maintained and secure.",Addis Ketema,Addis Ketema,2.0,1.0,91.9,False,27000.0,"2-bedroom apartment in Addis Ketema available for rent. 92 square metres, well laid out. Comes with a backup generator. Well maintained and secure."
"2-bedroom unit in Kirkos for long-term rental. 79 square metres, well laid out. Well maintained apartment. Ideal for families or professionals.",Kirkos,Kirkos,2.0,1.0,79.0,False,31000.0,"2-bedroom unit in Kirkos for long-term rental. 79 square metres, well laid out. Well maintained apartment. Ideal for families or professionals."
1-bedroom apartment in Kolfe available for rent. About 48 square metres of living space. Comes with a backup generator. Close to schools and markets.,Kolfe,Kolfe,1.0,1.0,47.9,False,16500.0,1-bedroom apartment in Kolfe available for rent. About 48 square metres of living space. Comes with a backup generator. Close to schools and markets.
Rent a 1-bedroom home located in Bole. Floor space of 84 square metres. Well maintained apartment. Close to schools and markets.,Bole,Bole,1.0,1.0,83.5,False,32000.0,Rent a 1-bedroom home located in Bole. Floor space of 84 square metres. Well maintained apartment. Close to schools and markets.
"Rent a 4-bedroom home located in Arada. 160 square metres, well laid out. Features a private water tank. Well maintained and secure.",Arada,Arada,4.0,2.0,159.9,False,61000.0,"Rent a 4-bedroom home located in Arada. 160 square metres, well laid out. Features a private water tank. Well maintained and secure."
2-bedroom unit in Kolfe for long-term rental. About 91 square metres of living space. Features a private water tank. Ideal for families or professionals.,Kolfe,Kolfe,2.0,1.0,91.4,False,27000.0,2-bedroom unit in Kolfe for long-term rental. About 91 square metres of living space. Features a private water tank. Ideal for families or professionals.
1-bedroom apartment in Akaky Kaliti available for rent. About 48 square metres of living space. Features a private water tank. Close to schools and markets.,Akaky Kaliti,Akaky Kaliti,1.0,1.0,48.1,False,14500.0,1-bedroom apartment in Akaky Kaliti available for rent. About 48 square metres of living space. Features a private water tank. Close to schools and markets.
"Apartment with 2 bedrooms in Kolfe, now available. Floor space of 77 square metres. Features a private water tank. Ideal for families or professionals.",Kolfe,Kolfe,2.0,2.0,76.7,False,25000.0,"Apartment with 2 bedrooms in Kolfe, now available. Floor space of 77 square metres. Features a private water tank. Ideal for families or professionals."
2-bedroom apartment in Bole available for rent. About 92 square metres of living space. Well maintained apartment. Close to schools and markets.,Bole,Bole,2.0,2.0,92.1,False,38000.0,2-bedroom apartment in Bole available for rent. About 92 square metres of living space. Well maintained apartment. Close to schools and markets.
1-bedroom apartment in Kirkos available for rent. Floor space of 80 square metres. Furnished and ready to move in. Quiet neighbourhood with good access to transport.,Kirkos,Kirkos,1.0,1.0,80.1,False,33500.0,1-bedroom apartment in Kirkos available for rent. Floor space of 80 square metres. Furnished and ready to move in. Quiet neighbourhood with good access to transport.
1-bedroom unit in Bole for long-term rental. About 49 square metres of living space. Well maintained apartment. Ideal for families or professionals.,Bole,Bole,1.0,1.0,49.4,False,20000.0,1-bedroom unit in Bole for long-term rental. About 49 square metres of living space. Well maintained apartment. Ideal for families or professionals.
4-bedroom unit in Bole for long-term rental. Floor space of 128 square metres. Well maintained apartment. Ideal for families or professionals.,Bole,Bole,4.0,3.0,128.5,False,56000.0,4-bedroom unit in Bole for long-term rental. Floor space of 128 square metres. Well maintained apartment. Ideal for families or professionals.
"Apartment with 5 bedrooms in Gulele, now available. Floor space of 154 square metres. Features a private water tank. Ideal for families or professionals.",Gulele,Gulele,5.0,3.0,154.4,False,51000.0,"Apartment with 5 bedrooms in Gulele, now available. Floor space of 154 square metres. Features a private water tank. Ideal for families or professionals."
"Apartment with 3 bedrooms in Gulele, now available. Floor space of 118 square metres. Furnished and ready to move in. Close to schools and markets.",Gulele,Gulele,3.0,2.0,118.4,False,41000.0,"Apartment with 3 bedrooms in Gulele, now available. Floor space of 118 square metres. Furnished and ready to move in. Close to schools and markets."
"Rent a 4-bedroom home located in Kolfe. 126 square metres, well laid out. Features a private water tank. Quiet neighbourhood with good access to transport.",Kolfe,Kolfe,4.0,3.0,125.9,False,41500.0,"Rent a 4-bedroom home located in Kolfe. 126 square metres, well laid out. Features a private water tank. Quiet neighbourhood with good access to transport."
"Apartment with 5 bedrooms in Lidetta, now available. Floor space of 133 square metres. Comes with a backup generator. Well maintained and secure.",Lidetta,Lidetta,5.0,3.0,133.2,False,45000.0,"Apartment with 5 bedrooms in Lidetta, now available. Floor space of 133 square metres. Comes with a backup generator. Well maintained and secure."
"Rent a 5-bedroom home located in Gulele. 160 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport.",Gulele,Gulele,5.0,3.0,159.5,False,50500.0,"Rent a 5-bedroom home located in Gulele. 160 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport."
"Apartment with 1 bedrooms in Kolfe, now available. 78 square metres, well laid out. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals.",Kolfe,Kolfe,1.0,1.0,77.5,False,25000.0,"Apartment with 1 bedrooms in Kolfe, now available. 78 square metres, well laid out. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals."
5-bedroom apartment in Bole available for rent. Floor space of 151 square metres. Well maintained apartment. Close to schools and markets.,Bole,Bole,5.0,2.0,151.0,False,64500.0,5-bedroom apartment in Bole available for rent. Floor space of 151 square metres. Well maintained apartment. Close to schools and markets.
Rent a 1-bedroom home located in Yeka. About 69 square metres of living space. Comes with a backup generator. Ideal for families or professionals.,Yeka,Yeka,1.0,1.0,68.9,False,24500.0,Rent a 1-bedroom home located in Yeka. About 69 square metres of living space. Comes with a backup generator. Ideal for families or professionals.
1-bedroom unit in Nifas Silk for long-term rental. About 58 square metres of living space. Features a private water tank. Well maintained and secure.,Nifas Silk,Nifas Silk,1.0,1.0,58.3,False,19000.0,1-bedroom unit in Nifas Silk for long-term rental. About 58 square metres of living space. Features a private water tank. Well maintained and secure.
"Rent a 3-bedroom home located in Lidetta. 98 square metres, well laid out. Well maintained apartment. Ideal for families or professionals.",Lidetta,Lidetta,3.0,2.0,97.9,False,29500.0,"Rent a 3-bedroom home located in Lidetta. 98 square metres, well laid out. Well maintained apartment. Ideal for families or professionals."
Rent a 4-bedroom home located in Bole. Floor space of 142 square metres. Features a private water tank. Well maintained and secure.,Bole,Bole,4.0,2.0,142.3,False,61500.0,Rent a 4-bedroom home located in Bole. Floor space of 142 square metres. Features a private water tank. Well maintained and secure.
Rent a 1-bedroom home located in Arada. About 69 square metres of living space. Features a private water tank. Quiet neighbourhood with good access to transport.,Arada,Arada,1.0,1.0,68.6,False,26000.0,Rent a 1-bedroom home located in Arada. About 69 square metres of living space. Features a private water tank. Quiet neighbourhood with good access to transport.
"Apartment with 2 bedrooms in Gulele, now available. Floor space of 92 square metres. Features a private water tank. Comes with a backup generator. Well maintained and secure.",Gulele,Gulele,2.0,2.0,91.9,False,32000.0,"Apartment with 2 bedrooms in Gulele, now available. Floor space of 92 square metres. Features a private water tank. Comes with a backup generator. Well maintained and secure."
"Rent a 2-bedroom home located in Bole. 104 square metres, well laid out. Well maintained apartment. Well maintained and secure.",Bole,Bole,2.0,1.0,104.0,False,41000.0,"Rent a 2-bedroom home located in Bole. 104 square metres, well laid out. Well maintained apartment. Well maintained and secure."
Rent a 2-bedroom home located in Kirkos. About 73 square metres of living space. Well maintained apartment. Well maintained and secure.,Kirkos,Kirkos,2.0,1.0,73.3,False,29000.0,Rent a 2-bedroom home located in Kirkos. About 73 square metres of living space. Well maintained apartment. Well maintained and secure.
5-bedroom apartment in Akaky Kaliti available for rent. About 145 square metres of living space. Comes with a backup generator. Quiet neighbourhood with good access to transport.,Akaky Kaliti,Akaky Kaliti,5.0,3.0,145.4,False,45000.0,5-bedroom apartment in Akaky Kaliti available for rent. About 145 square metres of living space. Comes with a backup generator. Quiet neighbourhood with good access to transport.
Rent a 2-bedroom home located in Gulele. Floor space of 88 square metres. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals.,Gulele,Gulele,2.0,2.0,87.9,False,32500.0,Rent a 2-bedroom home located in Gulele. Floor space of 88 square metres. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals.
2-bedroom apartment in Yeka available for rent. About 79 square metres of living space. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals.,Yeka,Yeka,2.0,1.0,79.2,False,32500.0,2-bedroom apartment in Yeka available for rent. About 79 square metres of living space. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals.
Rent a 1-bedroom home located in Lidetta. Floor space of 73 square metres. Well maintained apartment. Ideal for families or professionals.,Lidetta,Lidetta,1.0,1.0,73.4,False,19000.0,Rent a 1-bedroom home located in Lidetta. Floor space of 73 square metres. Well maintained apartment. Ideal for families or professionals.
"1-bedroom unit in Kirkos for long-term rental. 62 square metres, well laid out. Features a private water tank. Furnished and ready to move in. Well maintained and secure.",Kirkos,Kirkos,1.0,1.0,61.8,False,28500.0,"1-bedroom unit in Kirkos for long-term rental. 62 square metres, well laid out. Features a private water tank. Furnished and ready to move in. Well maintained and secure."
"Apartment with 1 bedrooms in Lidetta, now available. About 52 square metres of living space. Well maintained apartment. Well maintained and secure.",Lidetta,Lidetta,1.0,1.0,52.1,False,14500.0,"Apartment with 1 bedrooms in Lidetta, now available. About 52 square metres of living space. Well maintained apartment. Well maintained and secure."
Rent a 3-bedroom home located in Yeka. About 109 square metres of living space. Features a private water tank. Close to schools and markets.,Yeka,Yeka,3.0,2.0,108.8,False,39500.0,Rent a 3-bedroom home located in Yeka. About 109 square metres of living space. Features a private water tank. Close to schools and markets.
3-bedroom apartment in Nifas Silk available for rent. About 110 square metres of living space. Furnished and ready to move in. Close to schools and markets.,Nifas Silk,Nifas Silk,3.0,2.0,110.0,False,40500.0,3-bedroom apartment in Nifas Silk available for rent. About 110 square metres of living space. Furnished and ready to move in. Close to schools and markets.
3-bedroom unit in Kirkos for long-term rental. Floor space of 119 square metres. Comes with a backup generator. Furnished and ready to move in. Well maintained and secure.,Kirkos,Kirkos,3.0,3.0,119.2,False,58500.0,3-bedroom unit in Kirkos for long-term rental. Floor space of 119 square metres. Comes with a backup generator. Furnished and ready to move in. Well maintained and secure.
5-bedroom unit in Yeka for long-term rental. About 157 square metres of living space. Features a private water tank. Ideal for families or professionals.,Yeka,Yeka,5.0,3.0,156.7,False,58000.0,5-bedroom unit in Yeka for long-term rental. About 157 square metres of living space. Features a private water tank. Ideal for families or professionals.
3-bedroom apartment in Lidetta available for rent. Floor space of 114 square metres. Features a private water tank. Close to schools and markets.,Lidetta,Lidetta,3.0,2.0,113.5,False,34500.0,3-bedroom apartment in Lidetta available for rent. Floor space of 114 square metres. Features a private water tank. Close to schools and markets.
"Apartment with 1 bedrooms in Yeka, now available. 68 square metres, well laid out. Features a private water tank. Well maintained and secure.",Yeka,Yeka,1.0,2.0,67.8,False,24500.0,"Apartment with 1 bedrooms in Yeka, now available. 68 square metres, well laid out. Features a private water tank. Well maintained and secure."
2-bedroom unit in Bole for long-term rental. About 84 square metres of living space. Well maintained apartment. Ideal for families or professionals.,Bole,Bole,2.0,1.0,83.7,False,34000.0,2-bedroom unit in Bole for long-term rental. About 84 square metres of living space. Well maintained apartment. Ideal for families or professionals.
"Rent a 2-bedroom home located in Kirkos. 77 square metres, well laid out. Furnished and ready to move in. Well maintained and secure.",Kirkos,Kirkos,2.0,1.0,77.4,False,35000.0,"Rent a 2-bedroom home located in Kirkos. 77 square metres, well laid out. Furnished and ready to move in. Well maintained and secure."
5-bedroom apartment in Gulele available for rent. About 156 square metres of living space. Features a private water tank. Comes with a backup generator. Furnished and ready to move in. Ideal for families or professionals.,Gulele,Gulele,5.0,2.0,155.5,False,60500.0,5-bedroom apartment in Gulele available for rent. About 156 square metres of living space. Features a private water tank. Comes with a backup generator. Furnished and ready to move in. Ideal for families or professionals.
"2-bedroom apartment in Kolfe available for rent. 82 square metres, well laid out. Features a private water tank. Comes with a backup generator. Furnished and ready to move in. Close to schools and markets.",Kolfe,Kolfe,2.0,2.0,82.0,False,33000.0,"2-bedroom apartment in Kolfe available for rent. 82 square metres, well laid out. Features a private water tank. Comes with a backup generator. Furnished and ready to move in. Close to schools and markets."
1-bedroom unit in Addis Ketema for long-term rental. About 84 square metres of living space. Well maintained apartment. Ideal for families or professionals.,Addis Ketema,Addis Ketema,1.0,1.0,84.3,False,20500.0,1-bedroom unit in Addis Ketema for long-term rental. About 84 square metres of living space. Well maintained apartment. Ideal for families or professionals.
"Apartment with 4 bedrooms in Yeka, now available. Floor space of 146 square metres. Features a private water tank. Ideal for families or professionals.",Yeka,Yeka,4.0,3.0,146.1,False,53000.0,"Apartment with 4 bedrooms in Yeka, now available. Floor space of 146 square metres. Features a private water tank. Ideal for families or professionals."
3-bedroom apartment in Kirkos available for rent. About 116 square metres of living space. Well maintained apartment. Ideal for families or professionals.,Kirkos,Kirkos,3.0,1.0,115.6,False,45000.0,3-bedroom apartment in Kirkos available for rent. About 116 square metres of living space. Well maintained apartment. Ideal for families or professionals.
1-bedroom apartment in Bole available for rent. About 68 square metres of living space. Furnished and ready to move in. Well maintained and secure.,Bole,Bole,1.0,1.0,68.5,False,30500.0,1-bedroom apartment in Bole available for rent. About 68 square metres of living space. Furnished and ready to move in. Well maintained and secure.
4-bedroom unit in Nifas Silk for long-term rental. Floor space of 129 square metres. Features a private water tank. Quiet neighbourhood with good access to transport.,Nifas Silk,Nifas Silk,4.0,2.0,128.9,False,44000.0,4-bedroom unit in Nifas Silk for long-term rental. Floor space of 129 square metres. Features a private water tank. Quiet neighbourhood with good access to transport.
"2-bedroom unit in Addis Ketema for long-term rental. 71 square metres, well laid out. Features a private water tank. Ideal for families or professionals.",Addis Ketema,Addis Ketema,2.0,2.0,70.9,False,23000.0,"2-bedroom unit in Addis Ketema for long-term rental. 71 square metres, well laid out. Features a private water tank. Ideal for families or professionals."
"Rent a 5-bedroom home located in Gulele. 149 square metres, well laid out. Features a private water tank. Comes with a backup generator. Ideal for families or professionals.",Gulele,Gulele,5.0,2.0,149.4,False,51500.0,"Rent a 5-bedroom home located in Gulele. 149 square metres, well laid out. Features a private water tank. Comes with a backup generator. Ideal for families or professionals."
5-bedroom apartment in Nifas Silk available for rent. About 153 square metres of living space. Features a private water tank. Ideal for families or professionals.,Nifas Silk,Nifas Silk,5.0,3.0,153.2,False,53000.0,5-bedroom apartment in Nifas Silk available for rent. About 153 square metres of living space. Features a private water tank. Ideal for families or professionals.
Rent a 2-bedroom home located in Kirkos. Floor space of 89 square metres. Furnished and ready to move in. Well maintained and secure.,Kirkos,Kirkos,2.0,2.0,88.8,False,40500.0,Rent a 2-bedroom home located in Kirkos. Floor space of 89 square metres. Furnished and ready to move in. Well maintained and secure.
Rent a 3-bedroom home located in Akaky Kaliti. Floor space of 114 square metres. Features a private water tank. Comes with a backup generator. Ideal for families or professionals.,Akaky Kaliti,Akaky Kaliti,3.0,2.0,113.6,False,35000.0,Rent a 3-bedroom home located in Akaky Kaliti. Floor space of 114 square metres. Features a private water tank. Comes with a backup generator. Ideal for families or professionals.
"3-bedroom unit in Arada for long-term rental. 119 square metres, well laid out. Well maintained apartment. Ideal for families or professionals.",Arada,Arada,3.0,2.0,119.1,False,44500.0,"3-bedroom unit in Arada for long-term rental. 119 square metres, well laid out. Well maintained apartment. Ideal for families or professionals."
4-bedroom apartment in Bole available for rent. Floor space of 122 square metres. Well maintained apartment. Ideal for families or professionals.,Bole,Bole,4.0,2.0,121.7,False,52500.0,4-bedroom apartment in Bole available for rent. Floor space of 122 square metres. Well maintained apartment. Ideal for families or professionals.
1-bedroom unit in Kirkos for long-term rental. Floor space of 56 square metres. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals.,Kirkos,Kirkos,1.0,1.0,55.8,False,26500.0,1-bedroom unit in Kirkos for long-term rental. Floor space of 56 square metres. Features a private water tank. Furnished and ready to move in. Ideal for families or professionals.
"Rent a 2-bedroom home located in Bole. 103 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport.",Bole,Bole,2.0,1.0,103.4,False,41000.0,"Rent a 2-bedroom home located in Bole. 103 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport."
1-bedroom unit in Yeka for long-term rental. About 73 square metres of living space. Features a private water tank. Comes with a backup generator. Close to schools and markets.,Yeka,Yeka,1.0,1.0,73.3,False,27000.0,1-bedroom unit in Yeka for long-term rental. About 73 square metres of living space. Features a private water tank. Comes with a backup generator. Close to schools and markets.
"Apartment with 4 bedrooms in Bole, now available. Floor space of 125 square metres. Features a private water tank. Comes with a backup generator. Quiet neighbourhood with good access to transport.",Bole,Bole,4.0,3.0,125.3,False,59500.0,"Apartment with 4 bedrooms in Bole, now available. Floor space of 125 square metres. Features a private water tank. Comes with a backup generator. Quiet neighbourhood with good access to transport."
"Apartment with 1 bedrooms in Arada, now available. Floor space of 63 square metres. Comes with a backup generator. Furnished and ready to move in. Ideal for families or professionals.",Arada,Arada,1.0,1.0,62.7,False,28500.0,"Apartment with 1 bedrooms in Arada, now available. Floor space of 63 square metres. Comes with a backup generator. Furnished and ready to move in. Ideal for families or professionals."
Rent a 3-bedroom home located in Nifas Silk. Floor space of 107 square metres. Features a private water tank. Comes with a backup generator. Ideal for families or professionals.,Nifas Silk,Nifas Silk,3.0,2.0,106.8,False,39000.0,Rent a 3-bedroom home located in Nifas Silk. Floor space of 107 square metres. Features a private water tank. Comes with a backup generator. Ideal for families or professionals.
4-bedroom unit in Kirkos for long-term rental. About 130 square metres of living space. Well maintained apartment. Ideal for families or professionals.,Kirkos,Kirkos,4.0,3.0,130.4,False,54000.0,4-bedroom unit in Kirkos for long-term rental. About 130 square metres of living space. Well maintained apartment. Ideal for families or professionals.
"5-bedroom unit in Kirkos for long-term rental. 158 square metres, well laid out. Features a private water tank. Comes with a backup generator. Ideal for families or professionals.",Kirkos,Kirkos,5.0,3.0,157.7,False,69500.0,"5-bedroom unit in Kirkos for long-term rental. 158 square metres, well laid out. Features a private water tank. Comes with a backup generator. Ideal for families or professionals."
"Apartment with 2 bedrooms in Addis Ketema, now available. About 116 square metres of living space. Comes with a backup generator. Quiet neighbourhood with good access to transport.",Addis Ketema,Addis Ketema,2.0,1.0,116.4,False,32000.0,"Apartment with 2 bedrooms in Addis Ketema, now available. About 116 square metres of living space. Comes with a backup generator. Quiet neighbourhood with good access to transport."
1-bedroom unit in Kolfe for long-term rental. Floor space of 66 square metres. Features a private water tank. Comes with a backup generator. Quiet neighbourhood with good access to transport.,Kolfe,Kolfe,1.0,1.0,66.3,False,22000.0,1-bedroom unit in Kolfe for long-term rental. Floor space of 66 square metres. Features a private water tank. Comes with a backup generator. Quiet neighbourhood with good access to transport.
4-bedroom unit in Arada for long-term rental. Floor space of 138 square metres. Features a private water tank. Furnished and ready to move in. Well maintained and secure.,Arada,Arada,4.0,2.0,138.0,False,62500.0,4-bedroom unit in Arada for long-term rental. Floor space of 138 square metres. Features a private water tank. Furnished and ready to move in. Well maintained and secure.
"1-bedroom unit in Yeka for long-term rental. 44 square metres, well laid out. Features a private water tank. Comes with a backup generator. Quiet neighbourhood with good access to transport.",Yeka,Yeka,1.0,1.0,43.8,False,19500.0,"1-bedroom unit in Yeka for long-term rental. 44 square metres, well laid out. Features a private water tank. Comes with a backup generator. Quiet neighbourhood with good access to transport."
Rent a 1-bedroom home located in Akaky Kaliti. About 58 square metres of living space. Well maintained apartment. Close to schools and markets.,Akaky Kaliti,Akaky Kaliti,1.0,1.0,58.2,False,14500.0,Rent a 1-bedroom home located in Akaky Kaliti. About 58 square metres of living space. Well maintained apartment. Close to schools and markets.
5-bedroom unit in Yeka for long-term rental. Floor space of 167 square metres. Features a private water tank. Quiet neighbourhood with good access to transport.,Yeka,Yeka,5.0,3.0,166.7,False,60500.0,5-bedroom unit in Yeka for long-term rental. Floor space of 167 square metres. Features a private water tank. Quiet neighbourhood with good access to transport.
5-bedroom unit in Kirkos for long-term rental. Floor space of 157 square metres. Well maintained apartment. Ideal for families or professionals.,Kirkos,Kirkos,5.0,3.0,156.8,False,65000.0,5-bedroom unit in Kirkos for long-term rental. Floor space of 157 square metres. Well maintained apartment. Ideal for families or professionals.
Rent a 4-bedroom home located in Akaky Kaliti. Floor space of 77 square metres. Features a private water tank. Comes with a backup generator. Ideal for families or professionals.,Akaky Kaliti,Akaky Kaliti,4.0,2.0,77.3,False,30500.0,Rent a 4-bedroom home located in Akaky Kaliti. Floor space of 77 square metres. Features a private water tank. Comes with a backup generator. Ideal for families or professionals.
"5-bedroom unit in Arada for long-term rental. 160 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport.",Arada,Arada,5.0,3.0,160.1,False,62500.0,"5-bedroom unit in Arada for long-term rental. 160 square metres, well laid out. Well maintained apartment. Quiet neighbourhood with good access to transport."
1-bedroom unit in Gulele for long-term rental. Floor space of 87 square metres. Well maintained apartment. Close to schools and markets.,Gulele,Gulele,1.0,1.0,87.0,False,23000.0,1-bedroom unit in Gulele for long-term rental. Floor space of 87 square metres. Well maintained apartment. Close to schools and markets.
1-bedroom unit in Nifas Silk for long-term rental. Floor space of 40 square metres. Features a private water tank. Comes with a backup generator. Well maintained and secure.,Nifas Silk,Nifas Silk,1.0,1.0,40.0,False,17500.0,1-bedroom unit in Nifas Silk for long-term rental. Floor space of 40 square metres. Features a private water tank. Comes with a backup generator. Well maintained and secure.
"Apartment with 2 bedrooms in Nifas Silk, now available. 104 square metres, well laid out. Furnished and ready to move in. Ideal for families or professionals.",Nifas Silk,Nifas Silk,2.0,2.0,104.2,False,36500.0,"Apartment with 2 bedrooms in Nifas Silk, now available. 104 square metres, well laid out. Furnished and ready to move in. Ideal for families or professionals."
